tweet_id,source,text,rating,name,stage,jpg_url,dog_breed,retweet_count,favorite_count
892420643555336193,iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13.0,Phineas,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,,6982,33723
892177421306343426,iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,Tilly,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,5284,29259
891815181378084864,iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,Archie,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,3469,21995
891689557279858688,iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,Darla,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Labrador Retriever,7197,36820
891327558926688256,iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,Franklin,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Basset,7730,35196
891087950875897856,iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake Bay Retriever,2590,17748
890971913173991426,iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,Jax,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,1651,10335
890729181411237888,iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,15707,56672
890609185150312448,iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,Zoey,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish Terrier,3609,24450
890240255349198849,iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,Cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,6085,27866
890006608113172480,iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,Koda,,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,6129,26972
889880896479866881,iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13.0,Bruno,,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French Bulldog,4149,24510
889665388333682689,iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13.0,,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,8320,41921
889638837579907072,iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12.0,Ted,,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French Bulldog,3705,23592
889531135344209921,iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13.0,Stuart,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,Golden Retriever,1876,13314
889278841981685760,iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13.0,Oliver,,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,Whippet,4430,22030
888917238123831296,iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12.0,Jim,,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,Golden Retriever,3753,25552
888804989199671297,iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13.0,Zeke,,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,Golden Retriever,3519,22398
888554962724278272,iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13.0,Ralphus,,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,Siberian Husky,2870,17266
888078434458587136,iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,12.0,Gerald,,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,French Bulldog,2888,19105
887705289381826560,iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,13.0,Jeffrey,,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,Basset,4525,26547
887517139158093824,iPhone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,14.0,,,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,,9824,40609
887473957103951883,iPhone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,13.0,Canela,,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,Pembroke,14983,60034
887343217045368832,iPhone,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,13.0,,,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,Mexican Hairless,8792,29498
887101392804085760,iPhone,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,12.0,,,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,Samoyed,4975,26904
886983233522544640,iPhone,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,13.0,Maya,,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,Chihuahua,6296,30283
886736880519319552,iPhone,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",13.0,Mingus,,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,Kuvasz,2621,10478
886680336477933568,iPhone,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,13.0,Derek,,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,,3726,19681
886366144734445568,iPhone,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,12.0,Roscoe,pupper,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,French Bulldog,2618,18513
886258384151887873,iPhone,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,13.0,Waffles,,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,Pug,5265,24462
885984800019947520,iPhone,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,12.0,Jimbo,,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,Blenheim Spaniel,5595,28531
885528943205470208,iPhone,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,13.0,Maisey,,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,Pug,5315,31532
885311592912609280,iPhone,RT @dog_rates: This is Lilly. She just parallel barked. Kindly requests a reward now. 13/10 would pet so well https://t.co/SATN4If5H5,13.0,Lilly,,https://pbs.twimg.com/media/C4bTH6nWMAAX_bJ.jpg,Labrador Retriever,15397,0
